Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
Linda and Martin (LiMa) on their way from Norfolk, VA to Los Angeles, CA	0	0	3	0	1	2	2	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	1	3	1	0	2	0	0	0	0	9	0	1	1	0	0	0	0	1	1	5	0	1	0	3	0	0	0	0	0	2	3	0	0	1	7	0	0	0	0	1	0	0	6	0	0	0	0	0	5	0	0	0	16	1	1	2	1	1	2	0	5	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	2	4	1	0	3	4	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	2	0	1	0	0	0	1	1	0	0	1	0	3	2	0	0	1	0	1	1	0	0	0	0	1	1	1	0	2	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	3	0	2	3	0	15	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	15	10	0	0	0	0	0	1	4	4	1	0	0	0	0	0	0	8	0	1	1	12	0	0	0	1	1	0	0	0	1	0	0	8	0	0	0	0	3	0	0	1	4	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	2	0	0	0	0	1	0	2	1	0	1	1	1	0	0	0	0	0	4	1	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	0	0	7	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	2	0	2	0	0	0	2	2	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	1
Hosspro Services	0	0	0	3	5	2	1	2	2	0	4	1	0	2	0	0	11	4	1	4	0	2	4	1	1	4	0	0	0	0	1	1	1	1	0	0	3	1	2	1	3	2	1	2	0	1	1	1	1	10	0	3	0	4	0	2	1	0	2	5	0	0	1	1	0	0	3	3	1	0	0	1	1	0	0	1	1	0	0	0	0	2	1	1	1	1	1	0	3	2	0	1	0	0	0	1	0	0	4	12	5	3	4	0	0	5	0	1	1	0	0	1	0	9	0	0	0	5	1	2	0	6	2	1	2	0	1	3	0	0	1	1	1	1	0	20	0	2	3	1	0	0	1	0	0	0	2	6	0	2	0	3	0	0	1	1	5	0	0	3	2	1	2	2	1	2	2	0	1	1	1	1	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	2	0	0	3	0	0	0	0	0	1	3	6	0	1	2	0	1	1	1	3	0	0	0	0	0	0	3	8	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	1	2	5	0	0	1	1	0	0	0	0	0	1	4	0	0	0	0	1	2	0	4	1	0	0	3	0	1	0	1	0	1	1	0	1	0	1	0	2	3	1	1	0	0	1	0	2	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	4	0	5	1	0	0	3	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	1	0	1	0	0	0	1	0	0	4	1	1	1	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	6	0	1	0	1	3	0	4	0	0	4	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	2	0	1	0	3	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0
F-Measure	1	3	3	3	8	1	3	0	1	1	1	3	5	2	2	0	2	0	3	5	2	4	8	1	5	2	5	1	0	4	2	4	6	4	3	1	8	1	6	5	15	0	2	2	2	0	0	2	4	2	1	1	0	3	2	4	0	2	3	1	38	3	1	4	2	6	3	9	1	3	1	6	1	2	4	1	11	3	1	2	4	1	3	3	4	3	3	0	2	1	1	1	0	0	1	2	1	1	0	0	1	0	0	3	1	2	3	2	0	3	1	1	0	0	1	1	1	2	4	3	0	1	17	3	5	1	1	1	1	3	2	1	0	2	7	1	2	14	1	0	1	2	2	0	0	5	2	2	2	0	0	0	1	3	3	0	2	4	0	0	0	0	0	7	3	0	3	1	1	0	1	1	0	0	4	0	14	0	6	1	1	0	1	2	0	1	3	0	1	2	8	5	4	1	1	0	0	0	0	1	2	1	2	3	2	17	0	0	1	16	2	0	0	1	0	1	2	0	3	1	4	0	1	0	2	2	0	1	4	4	4	1	0	0	1	0	9	0	0	3	0	3	0	0	1	4	3	1	1	0	3	2	3	0	1	0	0	2	3	3	2	4	0	0	0	0	3	3	0	1	0	0	3	1	0	0	0	0	1	4	1	2	2	1	0	7	2	1	0	4	3	0	1	2	1	0	10	2	0	1	0	0	1	1	1	1	0	0	1	3	4	0	0	0	1	1	2	0	1	0	0	0	0	2	0	0	1	2	0	3	10	2	4	1	1	1	4	9	0	0	0	3	4	2	3	4	6	0	2	1	6	4	3	3	1	0	0	2	1	0	4	0	0	3	2	0	3	0	2	0	3	0	2	1	6	0	2	2	0	2	1	1	3	4	0	0	0	6	6	1	3	0	0	1	6	0	2	2	1	0	0	2	0	1	4	2	0	1	0	0	3	6	2	5	2	2	1	2	1	3	3	0	0	1	3	0	0	0	1	1	71	0	1	0	0	1	0	6	0	1	0	0	0	1	3	0	0	1	0	1	0	0	0	1	0	3	2	0	0	0	3	0	0	0	0	0	5	0	1	0	1	7	0	3	1	3	0	0	0	0	1	0	8	3	4	0	1	3	7	1	0	0	0	2	1	0	0	4	1	0
Annie Hall	0	3	0	1	1	2	1	3	2	5	0	4	10	4	6	1	2	2	2	1	1	0	5	1	1	3	0	0	1	1	10	0	2	0	4	2	2	0	3	0	1	4	3	2	1	0	0	3	0	0	0	6	0	4	1	2	2	0	0	2	1	2	2	1	0	1	2	1	3	0	0	3	0	2	0	1	1	5	1	0	1	2	1	1	0	1	1	0	0	0	3	0	0	0	3	2	0	3	1	6	0	0	0	2	2	1	1	1	1	1	0	0	6	2	0	0	0	1	0	0	4	0	2	0	5	1	0	0	5	0	0	11	0	3	1	1	0	0	0	0	1	1	5	1	0	0	0	0	2	1	1	1	0	0	1	1	0	2	0	1	0	0	4	2	1	1	0	0	6	0	0	1	2	0	0	1	0	0	1	0	0	1	3	0	3	0	4	2	0	0	2	0	2	0	0	1	1	0	0	0	0	0	1	0	2	0	1	0	1	2	1	1	1	0	1	1	2	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	2	2	0	0	1	1	1	0	0	2	0	1	12	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	1	0	1	2	0	0	0	0	5	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	2	0	0	0	0	2	0	3	0	1	1	1	2	0	0	5	0	0	2	2	1	0	1	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	4	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	2	0	0	3	0	0	1	1	0	0	0	1	2	0	1	0	1	2	4	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	2	0	0	1	1	0	3	0	0	0	0	0	0	1	0	4	0	1	1	3	0	0	0	0	0	0
Snooping on Sonrise	36	0	0	0	0	25	0	2	2	0	0	5	0	0	25	0	18	4	0	0	0	0	0	39	0	0	2	0	0	2	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	18	28	10	0	0	36	35	0	61	0	25	25	0	25	0	1	0	1	0	1	0	0	1	2	8	0	0	0	1	0	0	0	0	44	18	6	25	0	3	0	0	4	0	19	2	0	18	0	12	2	111	6	0	5	1	0	0	0	0	0	2	0	2	0	120	1	0	25	0	7	0	5	0	52	1	0	0	0	0	0	25	0	0	0	0	0	0	3	0	0	0	0	0	0	7	2	0	25	0	0	1	1	0	0	2	0	1	18	1	0	8	0	0	1	25	0	0	0	0	23	0	0	0	0	0	1	0	0	2	0	0	10	90	0	0	0	0	0	24	0	0	0	18	0	11	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	1	25	3	0	18	0	0	0	59	0	0	0	10	25	0	0	25	1	0	1	0	0	5	1	0	3	1	0	0	0	74	1	0	26	0	0	2	1	0	1	0	0	1	1	0	0	1	0	0	0	0	7	50	0	40	0	0	0	0	1	0	0	56	1	4	0	0	0	5	0	0	5	4	0	18	6	83	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	30	0	7	0	0	0	0	2	2	0	2	76	1	0	43	0	0	0	18	0	0	1	0	0	0	0	0	1	0	8	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	1	0	4	0	11	0	0	0	0	0	0	0	1	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	50	0	1	0	0	0	0	0	0	0	1	0	26	0	0	0	0	7	0	13	0	44	0	29	0	0	0	18	1	3	0	0	0	2	0	0	25	0	0	25	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	82	27	7	0	8	4	0	0	0	1	0	0	3	4	1	0	0	0	0	0	2	0	0	1	0	7	0	0	25	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Not So Random Babble	0	1	1	1	0	0	4	1	2	6	1	1	0	2	5	1	2	4	1	2	3	4	0	2	0	2	2	1	1	1	2	3	0	3	6	6	1	4	5	4	3	3	2	0	2	0	1	3	4	1	5	12	3	5	3	0	0	9	1	2	1	1	1	2	2	3	0	0	3	0	0	1	5	1	0	2	3	2	1	2	2	1	0	1	1	0	4	12	0	2	3	5	1	1	5	0	0	2	0	0	4	0	0	3	1	0	0	1	3	5	1	0	0	10	28	0	0	0	0	4	1	0	2	0	1	1	2	0	3	0	1	4	0	3	1	0	1	0	2	0	3	4	3	1	0	0	3	3	0	1	4	1	0	1	0	2	0	0	5	1	0	2	1	0	0	1	1	4	1	0	0	0	1	0	0	0	2	0	1	0	1	2	1	0	3	2	10	1	1	0	0	0	0	4	2	1	1	2	0	0	4	0	1	0	0	0	0	1	0	1	1	2	0	0	1	3	2	1	2	1	2	1	0	0	1	0	0	1	0	0	0	3	1	0	2	5	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	2	2	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	2	1	0	6	0	2	0	4	0	1	1	2	0	1	1	0	0	0	4	0	1	1	1	2	0	1	4	0	0	2	0	0	0	0	1	1	0	1	0	0	0	2	0	0	1	1	0	1	3	2	0	1	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	4	0	2	0	0	1	2	4	5	0	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	1	2	1	0	0	1	15	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	1	1	0	2	2	1	1	0	0	1	2	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	1	0	0	1	0
Networking at ODU-CS	8	0	0	0	3	0	2	0	0	0	2	1	0	0	0	4	3	0	0	1	0	0	0	1	2	1	6	1	1	4	0	3	2	3	0	4	1	5	0	0	1	0	0	0	2	0	0	0	8	2	1	0	5	0	0	3	0	0	8	0	0	9	1	8	5	3	0	2	0	0	0	3	3	0	5	0	1	1	1	1	0	0	0	5	4	19	1	0	1	5	0	0	0	0	11	0	0	0	7	19	5	0	1	0	0	1	0	0	0	3	15	3	1	1	0	1	5	0	0	2	0	1	0	0	0	0	0	3	0	18	0	0	1	0	0	1	2	1	6	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	8	0	1	0	3	0	0	1	1	0	10	7	5	1	1	0	2	0	0	0	0	2	1	0	0	0	0	1	3	0	0	3	0	3	8	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	3	1	1	0	0	0	0	0	9	0	0	1	0	0	27	0	9	0	0	0	0	0	1	7	5	1	2	0	6	1	2	0	0	0	1	3	25	0	0	0	0	6	1	0	0	2	2	2	0	1	0	2	0	13	0	0	1	0	0	1	0	3	1	2	0	13	1	0	0	0	0	0	3	7	0	6	0	0	0	0	0	0	0	0	3	0	0	0	2	1	1	2	6	8	0	1	1	0	0	0	2	4	0	1	0	0	5	0	0	0	0	4	9	6	4	0	0	2	1	6	1	0	60	0	2	11	0	0	0	0	5	0	0	2	0	6	0	1	31	0	8	2	10	3	0	0	0	1	2	0	0	3	0	2	0	2	0	0	0	0	10	0	3	0	0	1	0	0	0	1	0	0	2	6	0	0	10	2	8	18	5	2	0	1	21	2	0	0	10	0	0	0	0	3	0	1	27	11	0	0	0	0	2	0	0	1	0	0	0	0	14	0	0	0	2	1	0	0	0	4	1	0	0	0	0	1	5	3	0	0	1	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	2	0	0	0	9	0	2	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	4	2	0	0	3	0	0	1	2	1	3	0	1	0	0	0	1	0	0	1
Mindy and Dave	1	2	0	2	4	5	3	4	1	3	1	1	3	0	0	0	0	0	1	1	2	0	2	0	0	3	0	5	0	1	2	5	1	1	4	0	3	2	6	0	8	2	4	2	3	1	14	2	1	3	3	3	2	2	2	1	2	1	1	2	1	1	2	1	0	1	1	2	1	1	4	8	1	1	0	0	1	0	3	2	2	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	2	0	0	8	0	3	5	2	1	0	0	2	2	1	1	3	4	1	0	2	1	1	1	0	8	0	2	1	3	2	0	2	0	0	1	0	0	0	1	4	0	0	0	2	0	1	0	2	4	0	0	0	2	4	0	1	1	0	0	1	1	0	2	1	0	0	0	1	0	1	1	0	2	7	0	1	2	0	1	1	0	0	0	2	0	0	0	1	1	0	0	1	1	7	0	0	2	0	1	3	1	1	1	3	4	1	1	6	0	2	4	3	0	1	1	0	0	2	0	2	0	1	0	2	0	0	1	1	6	5	0	3	1	2	0	0	1	0	1	0	0	2	0	2	2	0	0	2	1	1	0	0	2	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	2	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	2	1	0	4	1	2	5	4	0	1	0	0	1	0	0	0	2	0	0	0	1	0	1	3	1	0	0	1	0	0	0	1	2	2	1	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	2	3	0	0	2	1	4	0	0	0	1	5	0	1	0	0	0	1	1	2	0	1	5	2	9	0	1	0	2	1	1	2	5	0	0	0	0	1	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	3	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	3	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	1	0	0	0	3	0	2	0	3	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	3	0	1	0	0	0	0	1	0	1	1	0	1
Larsen's Loop	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	2	1	1	2	1	0	1	0	1	1	1	0	0	1	0	1	1	3	0	0	2	7	0	0	0	0	0	0	1	1	1	0	0	3	0	2	3	0	3	0	0	2	1	0	2	0	1	2	0	2	0	0	0	3	0	2	1	1	2	0	0	2	0	2	1	0	0	1	2	0	0	3	0	0	0	1	0	2	0	0	0	1	2	0	0	0	3	0	1	0	0	2	1	0	0	2	3	0	1	0	1	1	0	1	1	0	0	1	0	2	0	1	1	3	1	8	0	1	0	0	0	0	0	0	0	0	2	3	0	1	0	1	1	0	0	3	0	0	0	0	2	1	1	1	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	0	0	0	2	1	2	0	1	2	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	3	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	5	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
In the Light of His Glory and Grace	10	5	9	3	7	8	3	4	5	15	8	5	3	3	3	2	1	5	7	11	5	19	18	8	11	7	2	4	5	2	0	2	4	3	3	5	4	4	6	7	6	0	10	2	5	3	0	2	3	9	13	19	11	15	3	8	4	2	8	6	5	11	1	0	3	2	1	3	2	8	2	1	7	3	0	4	1	0	0	16	7	2	2	0	2	4	11	9	0	2	2	7	4	5	1	5	4	9	1	3	0	1	15	0	0	4	17	16	1	4	3	1	4	3	32	9	3	4	2	3	1	6	1	2	9	6	2	0	4	4	8	8	9	0	15	11	14	5	3	3	7	3	4	3	16	4	12	0	3	5	5	2	1	11	5	3	8	2	0	4	7	3	3	0	2	0	1	2	2	9	3	5	2	5	0	7	2	2	1	4	6	4	2	8	14	0	2	3	4	1	2	0	1	12	5	2	8	9	3	0	3	2	4	3	1	1	3	3	1	16	0	2	2	0	1	5	7	1	3	2	1	2	3	6	1	0	1	1	0	1	1	2	5	7	6	5	5	0	5	6	6	0	3	1	5	0	6	5	3	7	7	6	2	4	3	4	3	1	0	8	1	7	1	2	2	1	4	1	1	3	6	3	6	5	5	1	6	0	2	0	9	6	0	10	6	1	0	1	2	2	3	1	2	7	4	0	0	0	1	2	0	0	7	10	3	2	4	5	2	3	2	2	4	2	3	3	0	1	1	3	3	0	13	1	2	2	0	0	3	3	1	2	2	3	1	7	3	2	0	8	4	3	1	1	0	2	0	1	29	0	0	3	0	7	2	0	3	2	0	9	1	0	18	8	4	2	0	2	2	0	1	4	1	5	0	0	1	0	47	2	3	2	2	13	2	0	4	0	2	2	6	1	1	0	0	1	1	1	2	0	0	3	10	2	0	0	2	1	1	3	0	2	0	5	0	1	4	4	0	0	3	0	1	0	4	3	0	2	1	0	4	3	5	0	1	2	2	0	1	5	4	0	0	6	2	4	0	0	3	0	4	6	5	2	0	3	1	0	2	0	1	0	5	2	0	5	0	8	5	1	3	6	1	2	2	0	4	1	1	1	0	0	1	3	0	5	0	1	1	5	0	2	0	0	2	3	5	0	1	1
Windfall Woman	0	1	3	1	3	2	4	1	3	2	1	0	1	4	4	0	1	3	2	2	4	5	0	0	0	0	6	2	2	1	0	3	6	0	2	1	0	0	5	5	2	0	1	0	0	1	3	0	0	1	0	4	0	0	2	0	2	1	0	4	0	3	1	1	3	0	1	0	2	3	0	0	1	3	1	0	1	0	1	1	3	3	0	3	0	1	0	0	0	0	0	1	2	1	2	1	1	0	1	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	7	1	0	0	2	3	1	1	0	0	1	1	3	1	2	0	0	2	3	1	0	0	0	0	1	1	3	0	3	1	0	0	4	0	0	1	0	0	0	1	1	1	3	2	1	2	1	1	2	3	0	0	3	4	0	1	2	0	0	0	1	2	1	1	0	1	1	0	2	1	0	0	2	0	0	1	1	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	8	4	3	0	0	1	0	1	4	0	2	1	0	0	0	3	0	1	0	0	0	0	2	1	0	0	2	2	1	0	0	1	3	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	1	1	3	1	0	3	0	0	0	2	1	0	3	0	1	0	0	1	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	1	0	1	0	0	1	2	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	4	0	1	2	0	4	0	1	0	1	2	0	1	1	0	1	0	0	0	1	0	2	0	0	0	0	3	1	2	0	2	0	0	0	0	0	0	3	0	1	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	3	2	0	0	0	0	6	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	1	3	1	1	0	1	2	0	0	0	0	0	0	2	0	2	1	1	2	0
Mecham Family- life goes on	0	2	1	0	2	0	1	6	3	4	1	4	3	0	1	0	0	3	4	0	0	1	1	0	3	1	0	2	2	0	1	3	2	1	1	3	1	0	0	1	4	0	5	1	2	3	15	0	8	0	4	1	4	1	0	1	4	0	0	3	0	1	1	1	0	2	4	2	1	2	0	7	8	2	0	3	0	0	0	1	1	0	1	12	1	4	1	1	3	0	1	1	0	4	0	3	0	1	1	27	3	2	1	1	0	0	3	2	0	1	0	2	0	1	0	1	1	1	1	2	5	1	0	0	6	0	1	0	0	0	1	4	0	2	0	2	0	1	0	3	2	2	0	2	6	3	7	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	4	0	2	0	0	4	2	2	0	1	1	4	0	0	1	3	2	0	2	0	0	0	1	2	0	0	1	1	0	2	0	2	0	2	0	1	0	2	2	0	2	1	0	0	0	2	0	0	1	1	1	2	0	1	6	0	1	2	0	5	0	2	2	0	0	0	0	2	0	3	0	0	0	0	5	0	0	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	1	0	0	2	2	0	2	1	3	2	2	0	3	2	3	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	2	3	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	1	1	1	0	0	0	8	0	0	1	1	5	0	0	0	1	1	0	0	8	0	3	2	1	0	0	0	1	0	6	1	0	3	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1	1	0	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	3	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	2	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
